user_id,created_at,User,cleaned_text,sentiment,likes,retweets,Location,polarity
1,02-02-2024,Frank,"Just chilling at home, nothing exciting.",Neutral,341,105,Delhi,0
2,03-02-2024,Vikram,"This app keeps crashing, so frustrating.",Negative,899,233,Chennai,-1
3,04-02-2024,Alice,This gadget is a complete waste of money.,Negative,248,423,Dallas,-1
4,05-02-2024,Tina,The internet speed is ridiculously slow.,Negative,538,152,Las Vegas,-1
5,06-02-2024,Sanya,Excited about my new job opportunity!,Positive,655,311,Bangalore,1
6,07-02-2024,Mia,"Really happy with my new car, drives smoothly!",Positive,491,370,Pune,1
7,08-02-2024,Neha,Traffic today was absolutely terrible.,Negative,1000,185,Denver,-1
8,09-02-2024,Priya,"The new policy changes are okay, I guess.",Neutral,669,446,Hyderabad,0
9,10-02-2024,Charlie,The internet speed is ridiculously slow.,Negative,849,358,Bangalore,-1
10,11-02-2024,Bob,The service at this restaurant was horrible.,Negative,677,453,Boston,-1
11,12-02-2024,Nathan,Feeling great after a productive day!,Positive,286,75,Chicago,1
12,13-02-2024,Uma,"The book was decent, nothing groundbreaking.",Neutral,164,46,Los Angeles,0
13,14-02-2024,Meera,Feeling great after a productive day!,Positive,826,313,Mumbai,1
14,15-02-2024,Frank,Amazing experience at the concert last night!,Positive,307,272,Pune,1
15,16-02-2024,Charlie,"Nothing much happened today, just an average day.",Neutral,248,363,Delhi,0
16,17-02-2024,Grace,The internet speed is ridiculously slow.,Negative,109,213,Pune,-1
17,18-02-2024,Wendy,Traffic today was absolutely terrible.,Negative,880,353,Hyderabad,-1
18,19-02-2024,Priya,"Just chilling at home, nothing exciting.",Neutral,695,228,Pune,0
19,20-02-2024,Ananya,Feeling great after a productive day!,Positive,116,212,Denver,1
20,21-02-2024,Victor,Super happy with my workout progress!,Positive,261,483,Chicago,1
21,22-02-2024,Nathan,The service at this restaurant was horrible.,Negative,765,260,Delhi,-1
22,23-02-2024,Priya,Super happy with my workout progress!,Positive,718,424,Jaipur,1
23,24-02-2024,Sanya,Had a wonderful time with friends today!,Positive,773,234,San Francisco,1
24,25-02-2024,Quincy,Feeling great after a productive day!,Positive,31,125,Hyderabad,1
25,26-02-2024,Ian,"Really happy with my new car, drives smoothly!",Positive,32,354,Hyderabad,1
26,27-02-2024,Rachel,Feeling great after a productive day!,Positive,623,155,Mumbai,1
27,28-02-2024,Alice,The service at this restaurant was horrible.,Negative,771,50,Boston,-1
28,29-02-2024,Ananya,Super happy with my workout progress!,Positive,713,105,Los Angeles,1
29,01-03-2024,Tina,The internet speed is ridiculously slow.,Negative,221,103,Seattle,-1
30,02-03-2024,Wendy,"Watched a decent movie, nothing special.",Neutral,358,261,Las Vegas,0
31,03-03-2024,Olivia,Amazing experience at the concert last night!,Positive,237,264,Mumbai,1
32,04-03-2024,Grace,"The book was decent, nothing groundbreaking.",Neutral,141,491,Austin,0
33,05-03-2024,David,Amazing experience at the concert last night!,Positive,991,19,Dallas,1
34,06-03-2024,Vikram,Love the new phone! The camera is fantastic.,Positive,880,172,Bangalore,1
35,07-03-2024,Karen,Excited about my new job opportunity!,Positive,155,47,Kolkata,1
36,08-03-2024,Karthik,"Just chilling at home, nothing exciting.",Neutral,472,475,Seattle,0
37,09-03-2024,Frank,Traffic today was absolutely terrible.,Negative,361,72,Boston,-1
38,10-03-2024,Rahul,I am really disappointed with this product.,Negative,217,430,New York,-1
39,11-03-2024,Leo,Love the new phone! The camera is fantastic.,Positive,359,126,Pune,1
40,12-03-2024,Uma,Traffic today was absolutely terrible.,Negative,591,307,Bangalore,-1
41,13-03-2024,Charlie,Traffic today was absolutely terrible.,Negative,576,240,New York,-1
42,14-03-2024,Rachel,Had a wonderful time with friends today!,Positive,449,205,Delhi,1
43,15-03-2024,Jack,"The book was decent, nothing groundbreaking.",Neutral,225,119,Mumbai,0
44,16-03-2024,Vikram,Excited about my new job opportunity!,Positive,217,163,Las Vegas,1
45,17-03-2024,Charlie,The internet speed is ridiculously slow.,Negative,511,230,Jaipur,-1
46,18-03-2024,Leo,The internet speed is ridiculously slow.,Negative,718,224,Bangalore,-1
47,19-03-2024,Uma,Love the new phone! The camera is fantastic.,Positive,547,292,Jaipur,1
48,20-03-2024,Tina,Amazing experience at the concert last night!,Positive,471,9,Delhi,1
49,21-03-2024,Tina,Excited about my new job opportunity!,Positive,679,320,Atlanta,1
50,22-03-2024,Ananya,Had a wonderful time with friends today!,Positive,736,247,Ahmedabad,1
51,23-03-2024,Karthik,"This app keeps crashing, so frustrating.",Negative,896,317,Lucknow,-1
52,24-03-2024,Meera,Had a wonderful time with friends today!,Positive,68,91,Phoenix,1
53,25-03-2024,Sanya,Super happy with my workout progress!,Positive,576,214,Atlanta,1
54,26-03-2024,Uma,"Nothing much happened today, just an average day.",Neutral,929,95,Los Angeles,0
55,27-03-2024,Nathan,"Just a regular day, nothing exciting.",Neutral,683,358,Chicago,0
56,28-03-2024,Ian,Excited about my new job opportunity!,Positive,120,479,Las Vegas,1
57,29-03-2024,Vikram,"Nothing much happened today, just an average day.",Neutral,157,78,Pune,0
58,30-03-2024,Charlie,The internet speed is ridiculously slow.,Negative,351,405,Las Vegas,-1
59,31-03-2024,Rohan,Love the new phone! The camera is fantastic.,Positive,154,5,Dallas,1
